WKT;FID
"POINT (116.323615 39.984818)";59
"POINT (116.313992 39.984155)";60
"POINT (116.314303 39.98116)";61
"POINT (116.314293 39.980133)";62
"POINT (116.2518 39.977382)";63
"POINT (116.305562 39.979732)";64
"POINT (116.2518 39.977382)";65
"POINT (116.23186 39.987577)";66
"POINT (116.231963 39.987563)";67
"POINT (116.229228 39.989367)";68
"POINT (116.229228 39.989367)";69
"POINT (116.252642 39.983857)";70
"POINT (116.250502 39.985825)";71
"POINT (116.250502 39.985825)";72
"POINT (116.404155 39.946798)";73
"POINT (116.404155 39.946798)";74
"POINT (116.415787 39.94792)";75
"POINT (116.426663 39.947427)";76
"POINT (116.426663 39.947427)";77
"POINT (116.427442 39.938303)";78
"POINT (116.427442 39.938303)";79
"POINT (116.427805 39.929102)";80
"POINT (116.427805 39.929102)";81
"POINT (116.428392 39.91943)";82
"POINT (116.428507 39.914395)";83
"POINT (116.42541 39.914073)";84
"POINT (116.427422 39.912143)";85
"POINT (116.42647 39.910818)";86
"POINT (116.424677 39.910455)";87
"POINT (116.424645 39.908153)";88
"POINT (116.42454 39.910687)";89
"POINT (116.42084 39.910787)";90
"POINT (116.42084 39.910787)";91
"POINT (116.42006 39.920222)";92
"POINT (116.420092 39.922847)";93
"POINT (116.426688 39.922998)";94
"POINT (116.426688 39.922998)";95
"POINT (116.438868 39.921948)";96
"POINT (116.439902 39.921297)";97
"POINT (116.440585 39.920868)";98
"POINT (116.439902 39.921892)";99
"POINT (116.437442 39.922378)";100
"POINT (116.436288 39.922617)";101
"POINT (116.427627 39.923227)";102
"POINT (116.427627 39.923227)";103
"POINT (116.428497 39.913762)";104
"POINT (116.428093 39.910942)";105
"POINT (116.424598 39.910635)";106
"POINT (116.424732 39.907883)";107
"POINT (116.424937 39.910747)";108
"POINT (116.42817 39.911065)";109
"POINT (116.429478 39.903897)";110
"POINT (116.421077 39.903797)";111
"POINT (116.420783 39.904998)";112
"POINT (116.421385 39.9036)";113
"POINT (116.42945 39.903727)";114
"POINT (116.43104 39.898607)";115
"POINT (116.436927 39.897105)";116
"POINT (116.437203 39.891158)";117
"POINT (116.437322 39.892265)";118
"POINT (116.449635 39.892003)";119
"POINT (116.449658 39.891405)";120
"POINT (116.454753 39.891875)";121
"POINT (116.454753 39.891875)";122
"POINT (116.454963 39.882473)";123
"POINT (116.454963 39.882473)";124
"POINT (116.454843 39.873205)";125
"POINT (116.454478 39.870345)";126
"POINT (116.450082 39.870317)";127
"POINT (116.452963 39.870143)";128
"POINT (116.457817 39.869802)";129
"POINT (116.457817 39.868047)";130
"POINT (116.458717 39.868065)";131
"POINT (116.4579 39.869708)";132
"POINT (116.461237 39.870028)";133
"POINT (116.455198 39.870097)";134
"POINT (116.455198 39.870097)";135
"POINT (116.455165 39.880145)";136
"POINT (116.455165 39.880145)";137
"POINT (116.455387 39.890025)";138
"POINT (116.455387 39.890025)";139
"POINT (116.455613 39.899437)";140
"POINT (116.45636 39.908375)";141
"POINT (116.45607 39.907142)";142
"POINT (116.45607 39.907142)";143
"POINT (116.444117 39.90721)";144
"POINT (116.438578 39.90713)";145
"POINT (116.4303 39.907198)";146
"POINT (116.4303 39.907198)";147
"POINT (116.428795 39.916675)";148
"POINT (116.428925 39.922735)";149
"POINT (116.439875 39.921683)";150
"POINT (116.44029 39.920912)";151
"POINT (116.441202 39.920887)";152
"POINT (116.441202 39.920887)";153
"POINT (116.429548 39.92268)";154
"POINT (116.428573 39.923342)";155
"POINT (116.428573 39.923342)";156
"POINT (116.427867 39.933667)";157
"POINT (116.427867 39.933667)";158
"POINT (116.42761 39.943875)";159
"POINT (116.42646 39.947837)";160
"POINT (116.42646 39.947837)";161
"POINT (116.41371 39.947852)";162
"POINT (116.41371 39.947852)";163
"POINT (116.40139 39.947687)";164
"POINT (116.389447 39.947952)";165
"POINT (116.389447 39.947952)";166
"POINT (116.388965 39.957377)";167
"POINT (116.388965 39.957377)";168
"POINT (116.388515 39.966853)";169
"POINT (116.388518 39.967578)";170
"POINT (116.390147 39.967523)";171
"POINT (116.390147 39.967523)";172
"POINT (116.378137 39.967107)";173
"POINT (116.378137 39.967107)";174
"POINT (116.366292 39.966785)";175
"POINT (116.366292 39.966785)";176
"POINT (116.352957 39.966487)";177
"POINT (116.352957 39.966487)";178
"POINT (116.34082 39.966423)";179
"POINT (116.34082 39.966423)";180
"POINT (116.328358 39.966335)";181
"POINT (116.328358 39.966335)";182
"POINT (116.31639 39.966125)";183
"POINT (116.315323 39.96599)";184
"POINT (116.311305 39.974728)";185
"POINT (116.306795 39.974872)";186
"POINT (116.398135 39.987047)";187
"POINT (116.303205 39.981032)";188
"POINT (116.398135 39.987047)";189
"POINT (116.386427 39.986815)";190
"POINT (116.386427 39.986815)";191
"POINT (116.37305 39.986402)";192
"POINT (116.37305 39.986402)";193
"POINT (116.360613 39.986195)";194
"POINT (116.360613 39.986195)";195
"POINT (116.34889 39.985977)";196
"POINT (116.34889 39.985977)";197
"POINT (116.336677 39.98548)";198
"POINT (116.336677 39.98548)";199
"POINT (116.323953 39.984903)";200
"POINT (116.323953 39.984903)";201
"POINT (116.311488 39.984633)";202
"POINT (116.311488 39.984633)";203
"POINT (116.297862 39.984037)";204
"POINT (116.297862 39.984037)";205
"POINT (116.285168 39.979818)";206
"POINT (116.285168 39.979818)";207
"POINT (116.275965 39.972437)";208
"POINT (116.268362 39.966353)";209
"POINT (116.268362 39.966353)";210
"POINT (116.269343 39.957102)";211
"POINT (116.269343 39.957102)";212
"POINT (116.268812 39.94705)";213
"POINT (116.268812 39.94705)";214
"POINT (116.268 39.937655)";215
"POINT (116.268 39.937655)";216
"POINT (116.268945 39.927847)";217
"POINT (116.26766 39.922307)";218
"POINT (116.27863 39.922878)";219
"POINT (116.27742 39.918498)";220
"POINT (116.2895 39.917337)";221
"POINT (116.288978 39.91077)";222
"POINT (116.288952 39.909002)";223
"POINT (116.288952 39.909002)";224
"POINT (116.290223 39.918118)";225
"POINT (116.290223 39.918118)";226
"POINT (116.291277 39.927428)";227
"POINT (116.291277 39.927428)";228
"POINT (116.290703 39.938102)";229
"POINT (116.290703 39.938102)";230
"POINT (116.289828 39.948757)";231
"POINT (116.289828 39.948757)";232
"POINT (116.288212 39.958857)";233
"POINT (116.288212 39.958857)";234
"POINT (116.282328 39.96774)";235
"POINT (116.279945 39.974325)";236
"POINT (116.279945 39.974325)";237
"POINT (116.287878 39.981793)";238
"POINT (116.287878 39.981793)";239
"POINT (116.299702 39.983818)";240
"POINT (116.299702 39.983818)";241
"POINT (116.31154 39.984197)";242
"POINT (116.31154 39.984197)";243
"POINT (116.323313 39.984525)";244
"POINT (116.323313 39.984525)";245
"POINT (116.336787 39.985162)";246
"POINT (116.336787 39.985162)";247
"POINT (116.34878 39.985552)";248
"POINT (116.34878 39.985552)";249
"POINT (116.360985 39.985913)";250
"POINT (116.360985 39.985913)";251
"POINT (116.373833 39.986235)";252
"POINT (116.373833 39.986235)";253
"POINT (116.385803 39.98653)";254
"POINT (116.385803 39.98653)";255
"POINT (116.399122 39.986905)";256
"POINT (116.399122 39.986905)";257
"POINT (116.411263 39.987287)";258
"POINT (116.411263 39.987287)";259
"POINT (116.424622 39.987672)";260
"POINT (116.424622 39.987672)";261
"POINT (116.437407 39.985792)";262
"POINT (116.437407 39.985792)";263
"POINT (116.447255 39.980353)";264
"POINT (116.447255 39.980353)";265
"POINT (116.45633 39.974445)";266
"POINT (116.460692 39.971033)";267
"POINT (116.460405 39.970053)";268
"POINT (116.468132 39.966408)";269
"POINT (116.468132 39.966408)";270
"POINT (116.460387 39.959153)";271
"POINT (116.459893 39.958608)";272
"POINT (116.460637 39.957777)";273
"POINT (116.459955 39.958813)";274
"POINT (116.459955 39.958813)";275
"POINT (116.46789 39.966127)";276
"POINT (116.468637 39.966692)";277
"POINT (116.462667 39.972108)";278
"POINT (116.4617 39.971673)";279
"POINT (116.4617 39.971673)";280
"POINT (116.451468 39.977867)";281
"POINT (116.451468 39.977867)";282
"POINT (116.442325 39.983807)";283
"POINT (116.442325 39.983807)";284
"POINT (116.43153 39.987868)";285
"POINT (116.43153 39.987868)";286
"POINT (116.419303 39.987645)";287
"POINT (116.419303 39.987645)";288
"POINT (116.407333 39.98722)";289
"POINT (116.407333 39.98722)";290
"POINT (116.395278 39.98692)";291
"POINT (116.395278 39.98692)";292
"POINT (116.38344 39.986575)";293
"POINT (116.38344 39.986575)";294
"POINT (116.370082 39.98627)";295
"POINT (116.370082 39.98627)";296
"POINT (116.357675 39.985915)";297
"POINT (116.357675 39.985915)";298
"POINT (116.345712 39.98556)";299
"POINT (116.345712 39.98556)";300
"POINT (116.33348 39.985173)";301
"POINT (116.33348 39.985173)";302
"POINT (116.319852 39.984587)";303
"POINT (116.319852 39.984587)";304
"POINT (116.306337 39.984202)";305
"POINT (116.300185 39.984598)";306
"POINT (116.302017 39.984658)";307
"POINT (116.457363 39.883178)";308
"POINT (116.41578 39.911972)";309
"POINT (116.45538 39.88335)";310
"POINT (116.455563 39.891483)";311
"POINT (116.454657 39.89243)";312
"POINT (116.4547 39.893265)";313
"POINT (116.455485 39.894238)";314
"POINT (116.454972 39.895947)";315
"POINT (116.449735 39.895998)";316
"POINT (116.449865 39.892423)";317
"POINT (116.45493 39.892732)";318
"POINT (116.454922 39.895113)";319
"POINT (116.454922 39.895113)";320
"POINT (116.455548 39.90439)";321
"POINT (116.455548 39.90439)";322
"POINT (116.455973 39.913567)";323
"POINT (116.455973 39.913567)";324
"POINT (116.455535 39.922847)";325
"POINT (116.455535 39.922847)";326
"POINT (116.455527 39.932803)";327
"POINT (116.455527 39.932803)";328
"POINT (116.455648 39.942155)";329
"POINT (116.455648 39.942155)";330
"POINT (116.455073 39.951527)";331
"POINT (116.455073 39.951527)";332
"POINT (116.445978 39.957947)";333
"POINT (116.445978 39.957947)";334
"POINT (116.436678 39.963982)";335
"POINT (116.436678 39.963982)";336
"POINT (116.425442 39.968127)";337
"POINT (116.425442 39.968127)";338
"POINT (116.41227 39.967787)";339
"POINT (116.41227 39.967787)";340
"POINT (116.400183 39.967545)";341
"POINT (116.395883 39.967477)";342
"POINT (116.395463 39.966988)";343
"POINT (116.405667 39.967228)";344
"POINT (116.410435 39.967778)";345
"POINT (116.415418 39.967432)";346
"POINT (116.415527 39.96198)";347
"POINT (116.414365 39.961532)";348
"POINT (116.415332 39.960345)";349
"POINT (116.416345 39.960033)";350
"POINT (116.416307 39.959567)";351
"POINT (116.415568 39.95884)";352
"POINT (116.415568 39.95884)";353
"POINT (116.485593 40.013523)";354
"POINT (116.485593 40.013523)";355
"POINT (116.466653 39.999387)";356
"POINT (116.466653 39.999387)";357
"POINT (116.474788 40.005942)";358
"POINT (116.474788 40.005942)";359
"POINT (116.416908 39.958103)";360
"POINT (116.417175 39.95805)";361
"POINT (116.417175 39.95805)";362
"POINT (116.412305 39.942387)";363
"POINT (116.409517 39.93954)";364
"POINT (116.409517 39.93954)";365
"POINT (116.412262 39.924675)";366
"POINT (116.412262 39.924675)";367
"POINT (116.414832 39.915755)";368
"POINT (116.310552 39.979368)";369
"POINT (116.305952 39.97846)";370
"POINT (116.31085 39.976383)";371
"POINT (116.31085 39.976383)";372
"POINT (116.314432 39.967198)";373
"POINT (116.31522 39.96568)";374
"POINT (116.31522 39.96568)";375
"POINT (116.32797 39.966152)";376
"POINT (116.32797 39.966152)";377
"POINT (116.341073 39.966248)";378
"POINT (116.341073 39.966248)";379
"POINT (116.353498 39.96633)";380
"POINT (116.353498 39.96633)";381
"POINT (116.366145 39.966578)";382
"POINT (116.366145 39.966578)";383
"POINT (116.37793 39.966848)";384
"POINT (116.37793 39.966848)";385
"POINT (116.391053 39.967148)";386
"POINT (116.391053 39.967148)";387
"POINT (116.402917 39.967518)";388
"POINT (116.402917 39.967518)";389
"POINT (116.415482 39.967868)";390
"POINT (116.415482 39.967868)";391
"POINT (116.428117 39.968203)";392
"POINT (116.428117 39.968203)";393
"POINT (116.438993 39.962502)";394
"POINT (116.438993 39.962502)";395
"POINT (116.44798 39.956555)";396
"POINT (116.455472 39.950555)";397
"POINT (116.455472 39.950555)";398
"POINT (116.455518 39.941123)";399
"POINT (116.455508 39.940273)";400
"POINT (116.455508 39.940273)";401
"POINT (116.455495 39.930923)";402
"POINT (116.455495 39.930923)";403
"POINT (116.455343 39.921553)";404
"POINT (116.455267 39.913932)";405
"POINT (116.455078 39.908097)";406
"POINT (116.454648 39.90333)";407
"POINT (116.45143 39.903043)";408
"POINT (116.451457 39.905027)";409
"POINT (116.45263 39.905082)";410
"POINT (116.452817 39.90602)";411
"POINT (116.452018 39.906785)";412
"POINT (116.454995 39.905942)";413
"POINT (116.452625 39.906105)";414
"POINT (116.455462 39.90594)";415
"POINT (116.456723 39.904478)";416
"POINT (116.454758 39.904382)";417
"POINT (116.454878 39.903065)";418
"POINT (116.455425 39.904855)";419
"POINT (116.454847 39.904988)";420
"POINT (116.456242 39.906275)";421
"POINT (116.454797 39.907148)";422
"POINT (116.456508 39.907417)";423
"POINT (116.45606 39.912635)";424
"POINT (116.45606 39.912635)";425
"POINT (116.455432 39.922687)";426
"POINT (116.455432 39.922687)";427
"POINT (116.455648 39.931702)";428
"POINT (116.455648 39.931702)";429
"POINT (116.45563 39.941057)";430
"POINT (116.45563 39.941057)";431
"POINT (116.455505 39.950778)";432
"POINT (116.455505 39.950778)";433
"POINT (116.447212 39.95718)";434
"POINT (116.447212 39.95718)";435
"POINT (116.437927 39.963313)";436
"POINT (116.437927 39.963313)";437
"POINT (116.427277 39.968328)";438
"POINT (116.427277 39.968328)";439
"POINT (116.414995 39.96793)";440
"POINT (116.414995 39.96793)";441
"POINT (116.402735 39.967652)";442
"POINT (116.402735 39.967652)";443
"POINT (116.390063 39.96723)";444
"POINT (116.390063 39.96723)";445
"POINT (116.37646 39.966757)";446
"POINT (116.37646 39.966757)";447
"POINT (116.364463 39.966603)";448
"POINT (116.364463 39.966603)";449
"POINT (116.352553 39.966435)";450
"POINT (116.352553 39.966435)";451
"POINT (116.339552 39.966352)";452
"POINT (116.339552 39.966352)";453
"POINT (116.32767 39.966257)";454
"POINT (116.32767 39.966257)";455
"POINT (116.31551 39.966008)";456
"POINT (116.315035 39.966102)";457
"POINT (116.311163 39.97485)";458
"POINT (116.306763 39.975188)";459
"POINT (116.31034 39.983735)";460
"POINT (116.346782 39.989662)";461
"POINT (116.31034 39.983735)";462
"POINT (116.31034 39.983735)";463
"POINT (116.29725 39.98403)";464
"POINT (116.29725 39.98403)";465
"POINT (116.285782 39.98041)";466
"POINT (116.285782 39.98041)";467
"POINT (116.277627 39.973305)";468
"POINT (116.277627 39.973305)";469
"POINT (116.268402 39.966128)";470
"POINT (116.268402 39.966128)";471
"POINT (116.269282 39.957043)";472
"POINT (116.269207 39.9557)";473
"POINT (116.267115 39.955797)";474
"POINT (116.266455 39.958618)";475
"POINT (116.267228 39.958613)";476
"POINT (116.268182 39.958085)";477
"POINT (116.268818 39.959162)";478
"POINT (116.268818 39.959162)";479
"POINT (116.269075 39.950068)";480
"POINT (116.268298 39.946092)";481
"POINT (116.269373 39.946122)";482
"POINT (116.269373 39.946122)";483
"POINT (116.269892 39.955503)";484
"POINT (116.269892 39.955503)";485
"POINT (116.268728 39.96511)";486
"POINT (116.268728 39.96511)";487
"POINT (116.27709 39.97267)";488
"POINT (116.27709 39.97267)";489
"POINT (116.285163 39.979453)";490
"POINT (116.285163 39.979453)";491
"POINT (116.295603 39.983703)";492
"POINT (116.30762 39.983587)";493
"POINT (116.306848 39.977285)";494
"POINT (116.310673 39.977658)";495
"POINT (116.310503 39.976908)";496
"POINT (116.311322 39.974912)";497
"POINT (116.306635 39.975145)";498
"POINT (116.305963 39.97908)";499
"POINT (116.305963 39.97908)";500
"POINT (116.328087 39.984963)";501
"POINT (116.255763 39.98111)";502
"POINT (116.271853 39.969968)";503
"POINT (116.255747 39.981115)";504
"POINT (116.255397 39.979898)";505
"POINT (116.25196 39.97753)";506
"POINT (116.25196 39.97753)";507
"POINT (116.268343 39.965747)";508
"POINT (116.268213 39.965308)";509
"POINT (116.26922 39.964593)";510
"POINT (116.349663 39.851682)";511
"POINT (116.348058 39.84789)";512
"POINT (116.351135 39.851797)";513
"POINT (116.351073 39.852525)";514
"POINT (116.348887 39.851037)";515
"POINT (116.353395 39.851503)";516
"POINT (116.3526 39.846148)";517
"POINT (116.357585 39.842953)";518
"POINT (116.350508 39.846148)";519
"POINT (116.350508 39.846148)";520
"POINT (116.36185 39.843547)";521
"POINT (116.361717 39.84293)";522
"POINT (116.360612 39.842492)";523
"POINT (116.359577 39.84294)";524
"POINT (116.36059 39.843495)";525
"POINT (116.36059 39.843495)";526
"POINT (116.37906 39.857198)";527
"POINT (116.379025 39.857188)";528
"POINT (116.377478 39.857255)";529
"POINT (116.377478 39.857255)";530
"POINT (116.365578 39.855928)";531
"POINT (116.365578 39.855928)";532
"POINT (116.354388 39.852775)";533
"POINT (116.35401 39.85237)";534
"POINT (116.349255 39.851537)";535
"POINT (116.348587 39.852282)";536
"POINT (116.348553 39.853765)";537
"POINT (116.347977 39.853562)";538
"POINT (116.255088 39.979232)";539
"POINT (116.313615 39.990583)";540
"POINT (116.2551 39.979237)";541
"POINT (116.255772 39.981128)";542
"POINT (116.255298 39.981967)";543
"POINT (116.255933 39.981118)";544
"POINT (116.25247 39.978097)";545
"POINT (116.25226 39.976918)";546
"POINT (116.25226 39.976918)";547
"POINT (116.268198 39.964632)";548
"POINT (116.268153 39.964617)";549
"POINT (116.269182 39.964157)";550
"POINT (116.269182 39.964157)";551
"POINT (116.309897 39.977157)";552
"POINT (116.309907 39.977137)";553
"POINT (116.309907 39.977137)";554
"POINT (116.31387 39.968533)";555
"POINT (116.315765 39.965383)";556
"POINT (116.315765 39.965383)";557
"POINT (116.327455 39.966383)";558
"POINT (116.327455 39.966383)";559
"POINT (116.340883 39.966212)";560
"POINT (116.340883 39.966212)";561
"POINT (116.353333 39.96629)";562
"POINT (116.353333 39.96629)";563
"POINT (116.366722 39.966575)";564
"POINT (116.366722 39.966575)";565
"POINT (116.380137 39.96688)";566
"POINT (116.380137 39.96688)";567
"POINT (116.392743 39.967182)";568
"POINT (116.401047 39.966783)";569
"POINT (116.401047 39.966783)";570
"POINT (116.401605 39.957463)";571
"POINT (116.401605 39.957463)";572
"POINT (116.40195 39.94821)";573
"POINT (116.401562 39.947627)";574
"POINT (116.4022 39.947153)";575
"POINT (116.4022 39.947153)";576
"POINT (116.414648 39.94803)";577
"POINT (116.414648 39.94803)";578
"POINT (116.426875 39.94747)";579
"POINT (116.426875 39.94747)";580
"POINT (116.427487 39.938118)";581
"POINT (116.427487 39.938118)";582
"POINT (116.427857 39.92832)";583
"POINT (116.427687 39.92417)";584
"POINT (116.428152 39.922772)";585
"POINT (116.432735 39.922888)";586
"POINT (116.439913 39.922195)";587
"POINT (116.439738 39.92325)";588
"POINT (116.439738 39.92325)";589
"POINT (116.427855 39.934972)";590
"POINT (116.427855 39.934972)";591
"POINT (116.427572 39.943987)";592
"POINT (116.426507 39.94808)";593
"POINT (116.426507 39.94808)";594
"POINT (116.4139 39.948067)";595
"POINT (116.4139 39.948067)";596
"POINT (116.401375 39.947693)";597
"POINT (116.401375 39.947693)";598
"POINT (116.388063 39.947687)";599
"POINT (116.388063 39.947687)";600
"POINT (116.375913 39.947777)";601
"POINT (116.375913 39.947777)";602
"POINT (116.373183 39.957368)";603
"POINT (116.373183 39.957368)";604
"POINT (116.37434 39.966758)";605
"POINT (116.374618 39.967408)";606
"POINT (116.375828 39.967095)";607
"POINT (116.375828 39.967095)";608
"POINT (116.364048 39.966647)";609
"POINT (116.364048 39.966647)";610
"POINT (116.35147 39.966487)";611
"POINT (116.35147 39.966487)";612
"POINT (116.33911 39.966437)";613
"POINT (116.33911 39.966437)";614
"POINT (116.326103 39.96633)";615
"POINT (116.315138 39.966045)";616
"POINT (116.311483 39.974767)";617
"POINT (116.306728 39.975063)";618
"POINT (116.309242 39.98399)";619
"POINT (116.30811 39.980095)";620
"POINT (116.309242 39.98399)";621
"POINT (116.321132 39.984465)";622
"POINT (116.321132 39.984465)";623
"POINT (116.333275 39.984945)";624
"POINT (116.333275 39.984945)";625
"POINT (116.34588 39.984922)";626
"POINT (116.34588 39.984922)";627
"POINT (116.357985 39.985563)";628
"POINT (116.357985 39.985563)";629
"POINT (116.371875 39.986128)";630
"POINT (116.371875 39.986128)";631
"POINT (116.383645 39.986538)";632
"POINT (116.383645 39.986538)";633
"POINT (116.396503 39.986842)";634
"POINT (116.396503 39.986842)";635
"POINT (116.410425 39.987275)";636
"POINT (116.410425 39.987275)";637
"POINT (116.424142 39.987667)";638
"POINT (116.424142 39.987667)";639
"POINT (116.437043 39.98588)";640
"POINT (116.437043 39.98588)";641
"POINT (116.447178 39.980328)";642
"POINT (116.448548 39.979493)";643
"POINT (116.448548 39.979493)";644
"POINT (116.451192 39.988525)";645
"POINT (116.451192 39.988525)";646
"POINT (116.451617 39.997653)";647
"POINT (116.45175 39.998872)";648
"POINT (116.45175 39.998872)";649
"POINT (116.465017 40.000617)";650
"POINT (116.467162 40.000745)";651
"POINT (116.467162 40.000745)";652
"POINT (116.466887 40.009755)";653
"POINT (116.466837 40.01)";654
"POINT (116.461317 40.010548)";655
"POINT (116.461062 40.018738)";656
"POINT (116.465492 40.019535)";657
"POINT (116.464758 40.02268)";658
"POINT (116.464758 40.02268)";659
"POINT (116.476777 40.020383)";660
"POINT (116.476777 40.020383)";661
"POINT (116.488828 40.021323)";662
"POINT (116.488828 40.021323)";663
"POINT (116.500922 40.022283)";664
"POINT (116.504938 40.022675)";665
"POINT (116.504938 40.022675)";666
"POINT (116.516965 40.023532)";667
"POINT (116.520787 40.02395)";668
"POINT (116.52099 40.024283)";669
"POINT (116.52099 40.024283)";670
"POINT (116.508855 40.022975)";671
"POINT (116.508855 40.022975)";672
"POINT (116.496808 40.021948)";673
"POINT (116.496808 40.021948)";674
"POINT (116.48408 40.02099)";675
"POINT (116.48408 40.02099)";676
"POINT (116.472178 40.021122)";677
"POINT (116.46827 40.023527)";678
"POINT (116.464772 40.022663)";679
"POINT (116.464617 40.019457)";680
"POINT (116.460973 40.018848)";681
"POINT (116.460973 40.018848)";682
"POINT (116.461205 40.00939)";683
"POINT (116.461162 40.000258)";684
"POINT (116.451552 39.999433)";685
"POINT (116.451552 39.999433)";686
"POINT (116.450962 39.990053)";687
"POINT (116.450815 39.9857)";688
"POINT (116.451603 39.984477)";689
"POINT (116.449043 39.979825)";690
"POINT (116.449043 39.979825)";691
"POINT (116.438862 39.98539)";692
"POINT (116.438862 39.98539)";693
"POINT (116.425763 39.987783)";694
"POINT (116.425763 39.987783)";695
"POINT (116.41355 39.987442)";696
"POINT (116.41355 39.987442)";697
"POINT (116.401782 39.987158)";698
"POINT (116.401782 39.987158)";699
"POINT (116.3897 39.986758)";700
"POINT (116.3897 39.986758)";701
"POINT (116.377633 39.986525)";702
"POINT (116.377633 39.986525)";703
"POINT (116.365242 39.986132)";704
"POINT (116.365242 39.986132)";705
"POINT (116.353288 39.985797)";706
"POINT (116.353288 39.985797)";707
"POINT (116.339708 39.985452)";708
"POINT (116.339708 39.985452)";709
"POINT (116.327815 39.985005)";710
"POINT (116.32109 39.984402)";711
"POINT (116.32076 39.982258)";712
"POINT (116.31891 39.982305)";713
"POINT (116.318458 39.979763)";714
"POINT (116.314502 39.979692)";715
"POINT (116.310605 39.975755)";716
"POINT (116.306183 39.978673)";717
"POINT (116.310848 39.975812)";718
"POINT (116.31109 39.97479)";719
"POINT (116.306908 39.974678)";720
"POINT (116.455608 39.89076)";721
"POINT (116.302948 39.981157)";722
"POINT (116.455608 39.89076)";723
"POINT (116.455492 39.899978)";724
"POINT (116.455492 39.899978)";725
"POINT (116.455747 39.909248)";726
"POINT (116.455747 39.909248)";727
"POINT (116.455507 39.918493)";728
"POINT (116.455507 39.918493)";729
"POINT (116.45565 39.928005)";730
"POINT (116.45565 39.928005)";731
"POINT (116.455587 39.937153)";732
"POINT (116.455587 39.937153)";733
"POINT (116.455653 39.946265)";734
"POINT (116.455653 39.946265)";735
"POINT (116.450565 39.95518)";736
"POINT (116.449935 39.95787)";737
"POINT (116.449935 39.95787)";738
"POINT (116.457622 39.964877)";739
"POINT (116.464502 39.970652)";740
"POINT (116.465343 39.969977)";741
"POINT (116.464127 39.969685)";742
"POINT (116.463308 39.97049)";743
"POINT (116.463308 39.97049)";744
"POINT (116.470688 39.97764)";745
"POINT (116.470688 39.97764)";746
"POINT (116.479418 39.985563)";747
"POINT (116.479418 39.985563)";748
"POINT (116.487282 39.992623)";749
"POINT (116.487282 39.992623)";750
"POINT (116.494895 40.000342)";751
"POINT (116.494895 40.000342)";752
"POINT (116.502808 40.007113)";753
"POINT (116.502808 40.007113)";754
"POINT (116.510975 40.014687)";755
"POINT (116.510975 40.014687)";756
"POINT (116.516435 40.022845)";757
"POINT (116.516435 40.022845)";758
"POINT (116.522275 40.031493)";759
"POINT (116.522275 40.031493)";760
"POINT (116.527098 40.039737)";761
"POINT (116.527322 40.039698)";762
"POINT (116.527322 40.039698)";763
"POINT (116.531637 40.048585)";764
"POINT (116.531637 40.048585)";765
"POINT (116.539145 40.056038)";766
"POINT (116.539145 40.056038)";767
"POINT (116.548135 40.062838)";768
"POINT (116.548135 40.062838)";769
"POINT (116.550652 40.073585)";770
"POINT (116.550652 40.073585)";771
"POINT (116.552293 40.083157)";772
"POINT (116.552293 40.083157)";773
"POINT (116.553948 40.093437)";774
"POINT (116.55488 40.099368)";775
"POINT (116.55353 40.090933)";776
