WKT;FROM;TO;COUNT
"LINESTRING (116.494033 37.209272,116.498823 37.199558)";325;326;1
"LINESTRING (116.510715 39.869129,116.510715 39.869129)";441;441;6
"LINESTRING (116.415743490909 39.8636931090909,116.415743490909 39.8636931090909)";120;120;2420
"LINESTRING (116.315318166667 39.965145625,116.309084690307 39.9790180756501)";28;1;1
"LINESTRING (116.252317 40.0455,116.2653435 40.0478975)";140;144;1
"LINESTRING (116.534927 37.772897,116.531507 37.763097)";100;102;1
"LINESTRING (116.364468233333 39.9668944666667,116.364468233333 39.9668944666667)";124;124;807
"LINESTRING (116.255378 39.9468766666667,116.268546022727 39.9471546363636)";568;180;2
"LINESTRING (116.527297 37.752565,116.520738 37.742547)";103;104;1
"LINESTRING (117.059148 35.935892,117.059148 35.935892)";433;433;5
"LINESTRING (116.355387363636 39.890325,116.359767833333 39.8878836666667)";153;202;2
"LINESTRING (116.46346 37.666703,116.46346 37.666703)";112;112;4
"LINESTRING (116.326499935484 39.9939092580645,116.335507025 39.98512485)";87;3;2
"LINESTRING (116.475244 40.0206293333333,116.486167 40.018612)";70;57;1
"LINESTRING (116.28868 39.958520875,116.297062166667 39.9721718333333)";41;197;1
"LINESTRING (117.091933 36.050017,117.091933 36.050017)";425;425;3
"LINESTRING (115.56808 39.654438,115.55597 39.648048)";556;557;1
"LINESTRING (116.520738 37.742547,116.520738 37.742547)";104;104;2
"LINESTRING (116.461338818182 40.0113193636364,116.4636992 40.0197524)";73;69;1
"LINESTRING (116.48481 37.70824,116.48481 37.70824)";108;108;4
"LINESTRING (116.791548 36.79816,116.797793 36.7902)";354;355;1
"LINESTRING (116.337081 39.849748625,116.341777 39.860407)";121;588;1
"LINESTRING (116.370950619048 39.840756,116.37766391954 39.8543189770115)";192;63;5
"LINESTRING (116.284235030769 39.8078846307692,116.284404550562 39.8262855617977)";175;174;9
"LINESTRING (116.307114 39.81300125,116.309784315789 39.8290561578947)";569;188;1
"LINESTRING (116.257807768421 39.9708023789474,116.254102591054 39.979973798722)";96;0;17
"LINESTRING (116.267997064516 39.895006172043,116.285525714286 39.8957370714286)";169;257;4
"LINESTRING (116.351158732143 39.9664790446429,116.347181411111 39.9847288666667)";25;4;2
"LINESTRING (116.465008857143 40.0007138571429,116.447456473684 40.0015087894737)";58;68;1
"LINESTRING (115.53269 39.643565,115.52054 39.643977)";559;560;1
"LINESTRING (116.352629666667 39.8308786,116.352629666667 39.8308786)";191;191;169
"LINESTRING (116.465008857143 40.0007138571429,116.415438533333 39.9635857111111)";58;55;1
"LINESTRING (116.292334714286 39.8392847142857,116.292334714286 39.8392847142857)";446;446;289
"LINESTRING (116.360963042553 39.9858189787234,116.373193 39.986866875)";8;277;11
"LINESTRING (116.2983033 39.8301241,116.302709818182 39.8383015454545)";189;117;1
"LINESTRING (116.231172625 39.988906625,116.21711 39.986432)";10;178;1
"LINESTRING (116.335557823529 39.9451004117647,116.335557823529 39.9451004117647)";88;88;120
"LINESTRING (116.215388 40.100852,116.215388 40.100852)";227;227;2
"LINESTRING (116.337014052632 39.9299811052632,116.341562333333 39.92012675)";89;255;1
"LINESTRING (116.23118 39.923834,116.23118 39.923834)";164;164;9
"LINESTRING (116.2895052 39.8628021,116.2895052 39.8628021)";311;311;279
"LINESTRING (116.442462272727 39.932975,116.455579614035 39.9288034210526)";99;50;1
"LINESTRING (116.685163555556 39.9852948888889,116.699233 39.9860583)";515;516;3
"LINESTRING (116.529056433333 40.0434708,116.529056433333 40.0434708)";80;80;665
"LINESTRING (116.276364261905 39.863533,116.276364261905 39.863533)";171;171;380
"LINESTRING (116.896533 36.38612,116.896533 36.38612)";390;390;2
"LINESTRING (116.5031908 40.0074897333333,116.500330727273 40.0231155454546)";78;71;1
"LINESTRING (116.703752 36.929635,116.703752 36.929635)";340;340;2
"LINESTRING (116.268591166667 39.943516,116.268546022727 39.9471546363636)";34;180;15
"LINESTRING (116.315318166667 39.965145625,116.329023615385 39.955874)";28;268;1
"LINESTRING (116.013968 40.11397,115.995338 40.120607)";543;544;1
"LINESTRING (116.973697 36.259247,116.979938 36.249832)";404;405;1
"LINESTRING (116.388641 39.9495479574468,116.401678728571 39.9476186142857)";23;11;1
"LINESTRING (116.74344 36.874835,116.74344 36.874835)";346;346;3
"LINESTRING (116.23118 39.923834,116.2447725 39.928699375)";164;163;1
"LINESTRING (117.097083 36.01685,117.097083 36.01685)";428;428;2
"LINESTRING (116.3938988 39.8702661,116.3938988 39.8702661)";207;207;479
"LINESTRING (116.657823 39.956292,116.657823 39.956292)";512;512;32
"LINESTRING (116.400546222222 40.0014655555556,116.399665387755 39.9869133265306)";535;29;1
"LINESTRING (116.4786758 39.9848222,116.4709776 39.9784937)";75;74;1
"LINESTRING (116.722615 35.862228,116.722615 35.862228)";295;295;2
"LINESTRING (116.415743490909 39.8636931090909,116.400624857143 39.8653361428571)";120;259;2
"LINESTRING (116.37602 39.961487,116.373124736842 39.9677681578947)";572;6;10
"LINESTRING (116.400624857143 39.8653361428571,116.400624857143 39.8653361428571)";259;259;283
"LINESTRING (116.353173428571 40.0085871428571,116.350145428571 40.020494)";97;98;2
"LINESTRING (116.3508475 40.072761,116.338541409091 40.0628965454545)";266;214;1
"LINESTRING (116.342911107143 39.8889555357143,116.329107826087 39.8951490434783)";154;155;3
"LINESTRING (116.797793 36.7902,116.797793 36.7902)";355;355;3
"LINESTRING (117.955992 39.278255,117.955992 39.278255)";471;471;2
"LINESTRING (116.32056875 39.869089,116.307135785714 39.8636831428571)";185;186;1
"LINESTRING (116.302449958333 39.9607090833333,116.315318166667 39.965145625)";94;28;5
"LINESTRING (116.645625 39.984802,116.645625 39.984802)";520;520;51
"LINESTRING (116.449548775 39.980409425,116.451152 39.991997)";45;584;1
"LINESTRING (116.844263 36.49993,116.852062 36.491638)";379;380;1
"LINESTRING (116.311132111111 40.0047538148148,116.311132111111 40.0047538148148)";161;161;363
"LINESTRING (116.272010333333 39.801252,116.284235030769 39.8078846307692)";447;175;1
"LINESTRING (116.326499935484 39.9939092580645,116.3260368 40.0103684)";87;148;1
"LINESTRING (116.564423 39.975627,116.552127 39.975718)";527;528;1
"LINESTRING (117.055498 36.118462,117.06283 36.109502)";418;419;1
"LINESTRING (116.373193 39.986866875,116.365228 39.998513)";277;262;4
"LINESTRING (116.308754397059 39.9842966617647,116.310267666667 39.9929978)";65;481;10
"LINESTRING (117.098108 36.005945,117.098108 36.005945)";429;429;4
"LINESTRING (116.456198229167 39.9416057291667,116.455579614035 39.9288034210526)";51;50;8
"LINESTRING (116.347181411111 39.9847288666667,116.360963042553 39.9858189787234)";4;8;11
"LINESTRING (116.322367820513 39.9843652564103,116.326499935484 39.9939092580645)";9;87;5
"LINESTRING (116.390402 39.898675,116.400613 39.904095)";248;249;1
"LINESTRING (116.456628 37.266825,116.456628 37.266825)";319;319;2
"LINESTRING (116.2789917 39.9250884,116.268094 39.9357918392857)";36;194;1
"LINESTRING (116.886703 36.43932,116.886703 36.43932)";385;385;5
"LINESTRING (116.405067885714 39.8557572571429,116.419207521739 39.8560874347826)";119;478;9
"LINESTRING (116.317260461538 39.9472980769231,116.308754397059 39.9842966617647)";129;65;1
"LINESTRING (116.267997064516 39.895006172043,116.270246527473 39.8791411208791)";169;170;12
"LINESTRING (116.4689685 39.948495,116.4689685 39.948495)";280;280;163
"LINESTRING (116.365228 39.998513,116.377587571429 40.0008867142857)";262;279;2
"LINESTRING (116.8591 36.718072,116.865213 36.708187)";363;364;1
"LINESTRING (116.329107826087 39.8951490434783,116.329107826087 39.8951490434783)";155;155;499
"LINESTRING (116.161288 40.248795,116.156203 40.258505)";240;241;1
"LINESTRING (116.415743490909 39.8636931090909,116.435070523809 39.8933174761905)";120;17;1
"LINESTRING (116.353173428571 40.0085871428571,116.335507025 39.98512485)";97;3;1
"LINESTRING (115.492447 39.641597,115.478198 39.639545)";562;563;1
"LINESTRING (116.279995744681 39.8392355106383,116.284404550562 39.8262855617977)";173;174;10
"LINESTRING (116.953122 35.901868,116.953122 35.901868)";438;438;4
"LINESTRING (115.504633 39.643083,115.504633 39.643083)";561;561;2
"LINESTRING (116.350145428571 40.020494,116.350145428571 40.020494)";98;98;49
"LINESTRING (116.40041 39.881728,116.417802 39.8808123333333)";482;483;1
"LINESTRING (116.417802 39.8808123333333,116.435070523809 39.8933174761905)";483;17;1
"LINESTRING (116.3668814 40.0247508,116.363856 40.039167)";263;264;1
"LINESTRING (116.470779227273 39.9656509545455,116.470779227273 39.9656509545455)";47;47;152
"LINESTRING (116.268908093023 39.9254848488372,116.255477 39.9230275)";35;162;1
"LINESTRING (116.190863 39.94921,116.190863 39.94921)";272;272;1
"LINESTRING (116.289481 40.0279941333333,116.289481 40.0279941333333)";135;135;538
"LINESTRING (116.200335 40.161843,116.200213 40.172395)";232;233;1
"LINESTRING (116.454719222222 39.9001348888889,116.453651191011 39.8857899101124)";566;18;4
"LINESTRING (116.22877 39.9636535,116.254102591054 39.979973798722)";270;0;1
"LINESTRING (116.480215 37.22857,116.480215 37.22857)";323;323;3
"LINESTRING (116.305990529412 40.0303576470588,116.2972052 40.0159648)";159;146;1
"LINESTRING (116.181332 40.211113,116.176193 40.220602)";236;237;1
"LINESTRING (116.317260461538 39.9472980769231,116.3188402 39.9320189)";129;91;2
"LINESTRING (116.348788521739 39.9547022173913,116.351158732143 39.9664790446429)";125;25;5
"LINESTRING (116.483847173913 39.9208502173913,116.484368333333 39.905143)";219;220;3
"LINESTRING (116.442877410256 39.8754710512821,116.4551811 39.8716443)";152;19;3
"LINESTRING (116.322367820513 39.9843652564103,116.308754397059 39.9842966617647)";9;65;15
"LINESTRING (116.691392 36.94915,116.691392 36.94915)";338;338;4
"LINESTRING (116.4551811 39.8716443,116.442877410256 39.8754710512821)";19;152;3
"LINESTRING (116.326499935484 39.9939092580645,116.455579614035 39.9288034210526)";87;50;1
"LINESTRING (116.2653435 40.0478975,116.252317 40.0455)";144;140;1
"LINESTRING (116.292279166667 39.9242433333333,116.28738368 39.93202304)";38;39;1
"LINESTRING (116.665967 37.00352,116.67003 36.99324)";333;334;1
"LINESTRING (116.480215 37.22857,116.48708 37.218777)";323;324;1
"LINESTRING (116.785853 36.807255,116.785853 36.807255)";353;353;3
"LINESTRING (116.5362675 39.8681225,116.550364 39.867561)";443;444;1
"LINESTRING (116.369102636364 39.8293452727273,116.352629666667 39.8308786)";193;191;2
"LINESTRING (116.745648 35.840212,116.738302 35.847455)";292;293;1
"LINESTRING (116.464033740741 39.9109343703704,116.454895675325 39.9067917662338)";276;20;4
"LINESTRING (117.097532 35.9943,117.095363 35.983392)";430;431;1
"LINESTRING (116.369102636364 39.8293452727273,116.370950619048 39.840756)";193;192;1
"LINESTRING (116.447647 37.635557,116.447647 37.635557)";115;115;4
"LINESTRING (116.315401307692 39.9077855384615,116.325496714286 39.906033)";208;209;1
"LINESTRING (116.2744474 39.9559708,116.268918876133 39.9658666676737)";585;2;1
"LINESTRING (117.901153 39.191095,117.901153 39.191095)";452;452;2
"LINESTRING (116.304942 40.056723,116.297456214286 40.0464142142857)";216;160;1
"LINESTRING (115.53269 39.643565,115.53269 39.643565)";559;559;5
"LINESTRING (116.921037 39.119817,116.921037 39.119817)";576;576;4
"LINESTRING (116.2462265 39.9858138571429,116.401678728571 39.9476186142857)";261;11;1
"LINESTRING (116.284235030769 39.8078846307692,116.272010333333 39.801252)";175;447;1
"LINESTRING (116.5361555 39.908975375,116.522238 39.916262)";486;501;1
"LINESTRING (116.652311 39.934786,116.65086 39.948768)";510;511;1
"LINESTRING (116.34914044898 39.8526038095238,116.337081 39.849748625)";61;121;7
"LINESTRING (116.327437847619 39.9666978380952,116.322367820513 39.9843652564103)";27;9;1
"LINESTRING (117.09433 36.027943,117.097083 36.01685)";427;428;1
"LINESTRING (116.32441775 39.8460185,116.337081 39.849748625)";122;121;3
"LINESTRING (117.927783 39.242055,117.927783 39.242055)";458;458;1
"LINESTRING (116.265329 39.9861983333333,116.265329 39.9861983333333)";449;449;112
"LINESTRING (116.451152 39.991997,116.451152 39.991997)";584;584;196
"LINESTRING (116.761105 35.82228,116.761105 35.82228)";290;290;4
"LINESTRING (116.28382908 39.99714532,116.265329 39.9861983333333)";132;449;1
"LINESTRING (116.360963042553 39.9858189787234,116.347181411111 39.9847288666667)";8;4;13
"LINESTRING (116.959277 36.276263,116.959277 36.276263)";402;402;4
"LINESTRING (116.510202 39.915542,116.496657 39.910644)";502;503;1
"LINESTRING (116.325169916667 40.0553025,116.325169916667 40.0553025)";213;213;210
"LINESTRING (116.329023615385 39.955874,116.327437847619 39.9666978380952)";268;27;5
"LINESTRING (116.454719222222 39.9001348888889,116.464033740741 39.9109343703704)";566;276;1
"LINESTRING (116.254102591054 39.979973798722,116.22877 39.9636535)";0;270;1
"LINESTRING (116.974381666667 35.9164956666667,116.974381666667 35.9164956666667)";436;436;1
"LINESTRING (117.960982666667 39.2079443333333,117.927783 39.242055)";457;458;1
"LINESTRING (116.276364261905 39.863533,116.2895052 39.8628021)";171;311;1
"LINESTRING (116.274657 39.81774,116.284404550562 39.8262855617977)";296;174;1
"LINESTRING (116.440118 37.283605,116.440118 37.283605)";317;317;1
"LINESTRING (116.351158732143 39.9664790446429,116.363679666667 39.96311)";25;571;1
"LINESTRING (116.373193 39.986866875,116.373689387097 39.9850789032258)";277;5;11
"LINESTRING (116.455753485714 39.952497,116.4689685 39.948495)";48;280;1
"LINESTRING (116.21711 39.986432,116.309084690307 39.9790180756501)";178;1;1
"LINESTRING (116.254102591054 39.979973798722,116.2462265 39.9858138571429)";0;261;10
"LINESTRING (116.355387363636 39.890325,116.362267 39.898638)";153;246;2
"LINESTRING (116.381014041667 39.8689290416667,116.3938988 39.8702661)";199;207;3
"LINESTRING (116.5361555 39.908975375,116.5495682 39.910631)";486;487;2
"LINESTRING (116.304278388889 39.9472257222222,116.315031380952 39.9680074285715)";93;282;1
"LINESTRING (116.46592 37.677848,116.46592 37.677848)";111;111;3
"LINESTRING (116.28738368 39.93202304,116.268094 39.9357918392857)";39;194;1
"LINESTRING (116.541229714286 39.9454007142857,116.541229714286 39.9454007142857)";301;301;42
"LINESTRING (117.02158 36.176618,117.028925 36.166957)";412;413;1
"LINESTRING (116.28632975 39.9475295,116.28868 39.958520875)";40;41;1
"LINESTRING (116.325804535714 39.9260515357143,116.337014052632 39.9299811052632)";90;89;3
"LINESTRING (116.438864682927 39.9857672195122,116.449548775 39.980409425)";44;45;9
"LINESTRING (116.304177793103 39.9314820344828,116.304278388889 39.9472257222222)";92;93;8
"LINESTRING (116.369102636364 39.8293452727273,116.369102636364 39.8293452727273)";193;193;287
"LINESTRING (116.6511626 39.8905168,116.64041 39.892858)";496;500;1
"LINESTRING (116.327437847619 39.9666978380952,116.315318166667 39.965145625)";27;28;26
"LINESTRING (116.362267 39.898638,116.351273485714 39.9058961428571)";246;128;1
"LINESTRING (116.738302 35.847455,116.731482 35.855005)";293;294;1
"LINESTRING (116.5476484375 40.0627369375,116.537806944444 40.0552128333333)";82;81;3
"LINESTRING (116.268918876133 39.9658666676737,116.297062166667 39.9721718333333)";2;197;1
"LINESTRING (116.385717411765 39.886437,116.374649888889 39.887482)";200;201;4
"LINESTRING (116.32441775 39.8460185,116.3233866 39.8302350666667)";122;187;1
"LINESTRING (116.814278 36.77394,116.814278 36.77394)";357;357;3
"LINESTRING (116.338541409091 40.0628965454545,116.338541409091 40.0628965454545)";214;214;539
"LINESTRING (116.2789917 39.9250884,116.2789917 39.9250884)";36;36;191
"LINESTRING (116.2285695 39.8298655,116.2285695 39.8298655)";309;309;4
"LINESTRING (116.455753485714 39.952497,116.470779227273 39.9656509545455)";48;47;1
"LINESTRING (116.310781 40.0457525,116.310781 40.0457525)";302;302;1
"LINESTRING (116.414287464286 39.9478471190476,116.34914044898 39.8526038095238)";12;61;1
"LINESTRING (116.879337 36.646833,116.881985 36.631425)";366;367;1
"LINESTRING (116.805707 36.781842,116.805707 36.781842)";356;356;2
"LINESTRING (116.40826 39.830037,116.432392 39.8641791486487)";150;151;1
"LINESTRING (116.6552395 39.8545131666667,116.6552395 39.8545131666667)";499;499;176
"LINESTRING (116.373689387097 39.9850789032258,116.37661246988 39.9682206024096)";5;123;1
"LINESTRING (116.5164156 40.0897942,116.34914044898 39.8526038095238)";553;61;1
"LINESTRING (116.883144 36.452862,116.883144 36.452862)";384;384;4
"LINESTRING (116.4153426 39.9763824,116.41318776 39.98786228)";224;42;1
"LINESTRING (116.442462272727 39.932975,116.440002207547 39.9220893773585)";99;16;6
"LINESTRING (116.298414461538 39.9835601025641,116.309084690307 39.9790180756501)";31;1;7
"LINESTRING (116.4378966 39.9629636,116.4470478 39.956869075)";53;52;10
"LINESTRING (117.9345 39.182577,117.959818 39.184835)";454;455;1
"LINESTRING (116.890772 36.407318,116.890772 36.407318)";388;388;2
"LINESTRING (116.40101 39.9647426184211,116.388925102941 39.9672222205882)";56;24;7
"LINESTRING (116.2789917 39.9250884,116.268908093023 39.9254848488372)";36;35;1
"LINESTRING (116.865153 36.473632,116.865153 36.473632)";382;382;4
"LINESTRING (116.304599222222 39.8826368333333,116.307135785714 39.8636831428571)";476;186;1
"LINESTRING (116.511297555556 40.015485,116.511297555556 40.015485)";79;79;111
"LINESTRING (116.6415775 39.905884,116.6415775 39.905884)";494;494;101
"LINESTRING (116.329107826087 39.8951490434783,116.325496714286 39.906033)";155;209;1
"LINESTRING (116.417802 39.8808123333333,116.417802 39.8808123333333)";483;483;3
"LINESTRING (116.267970666667 40.0269006666667,116.267970666667 40.0269006666667)";138;138;49
"LINESTRING (116.504393 37.189672,116.5123 37.18023)";327;328;1
"LINESTRING (116.337321066667 39.8295884666667,116.352629666667 39.8308786)";190;191;2
"LINESTRING (116.277861505618 39.9736143146067,116.277861505618 39.9736143146067)";33;33;1166
"LINESTRING (116.647203 37.02889,116.654433 37.021502)";330;331;1
"LINESTRING (116.654433 37.021502,116.654433 37.021502)";331;331;4
"LINESTRING (116.427119769231 39.9349231153846,116.42667985 39.946457125)";22;13;17
"LINESTRING (116.34914044898 39.8526038095238,116.359745780488 39.8439561219512)";61;62;5
"LINESTRING (116.282785 39.910997,116.268289040404 39.910758979798)";534;168;1
"LINESTRING (116.322367820513 39.9843652564103,116.309084690307 39.9790180756501)";9;1;4
"LINESTRING (116.42667985 39.946457125,116.414287464286 39.9478471190476)";13;12;19
"LINESTRING (116.494033 37.209272,116.494033 37.209272)";325;325;3
"LINESTRING (116.510715 39.869129,116.4977665 39.869586)";441;440;1
"LINESTRING (116.41318776 39.98786228,116.534512 39.831602)";42;297;1
"LINESTRING (116.350145428571 40.020494,116.3668814 40.0247508)";98;263;1
"LINESTRING (116.370950619048 39.840756,116.370950619048 39.840756)";192;192;654
"LINESTRING (116.822617 36.767755,116.822617 36.767755)";358;358;4
"LINESTRING (117.028925 36.166957,117.036063 36.15703)";413;414;1
"LINESTRING (116.268918876133 39.9658666676737,116.308754397059 39.9842966617647)";2;65;4
"LINESTRING (116.9900035 36.214846,116.9900035 36.214846)";408;408;5
"LINESTRING (116.381014041667 39.8689290416667,116.368082285714 39.8703636428571)";199;258;1
"LINESTRING (116.883144 36.452862,116.886703 36.43932)";384;385;1
"LINESTRING (116.317930428571 40.0353685714286,116.3298651 40.0431146)";539;212;1
"LINESTRING (116.449548775 39.980409425,116.46121468 39.97080078)";45;46;7
"LINESTRING (116.765655 36.833805,116.765655 36.833805)";350;350;3
"LINESTRING (116.896957 36.375273,116.898252 36.364433)";391;392;1
"LINESTRING (116.944213 36.292005,116.944213 36.292005)";400;400;3
"LINESTRING (116.268289040404 39.910758979798,116.282785 39.910997)";168;534;1
"LINESTRING (117.899615 39.262335,117.899615 39.262335)";460;460;2
"LINESTRING (116.372127275862 39.9582460689655,116.372127275862 39.9582460689655)";7;7;381
"LINESTRING (116.520738 37.742547,116.512337 37.733385)";104;105;1
"LINESTRING (116.440002207547 39.9220893773585,116.444242058824 39.9083433529412)";16;21;2
"LINESTRING (116.461338818182 40.0113193636364,116.447456473684 40.0015087894737)";73;68;1
"LINESTRING (116.48481 37.70824,116.476232 37.699765)";108;109;1
"LINESTRING (116.3188402 39.9320189,116.304177793103 39.9314820344828)";91;92;1
"LINESTRING (116.341562333333 39.92012675,116.348889108108 39.9241877567568)";255;127;2
"LINESTRING (116.268918876133 39.9658666676737,116.349886242424 39.9425621818182)";2;126;1
"LINESTRING (116.206698 40.125274,116.201797 40.139663)";229;230;1
"LINESTRING (116.279995744681 39.8392355106383,116.277426333333 39.8496965882353)";173;172;12
"LINESTRING (116.347181411111 39.9847288666667,116.351158732143 39.9664790446429)";4;25;1
"LINESTRING (116.352629666667 39.8308786,116.337321066667 39.8295884666667)";191;190;2
"LINESTRING (116.267746014286 39.9566036285714,116.257807768421 39.9708023789474)";256;96;1
"LINESTRING (116.427119769231 39.9349231153846,116.427119769231 39.9349231153846)";22;22;1202
"LINESTRING (116.979938 36.249832,116.984818 36.239643)";405;406;1
"LINESTRING (116.335557823529 39.9451004117647,116.337014052632 39.9299811052632)";88;89;3
"LINESTRING (116.298414461538 39.9835601025641,116.304278388889 39.9472257222222)";31;93;1
"LINESTRING (116.713003 36.909785,116.720412 36.900483)";342;343;1
"LINESTRING (116.23118 39.923834,116.219081 39.9235045)";164;165;1
"LINESTRING (116.464033740741 39.9109343703704,116.464033740741 39.9109343703704)";276;276;567
"LINESTRING (116.440321428571 39.9511815714286,116.440321428571 39.9511815714286)";275;275;336
"LINESTRING (116.874243 36.465645,116.883144 36.452862)";383;384;1
"LINESTRING (116.205506 39.9231394,116.219081 39.9235045)";166;165;1
"LINESTRING (116.87875 36.658383,116.87875 36.658383)";365;365;2
"LINESTRING (116.529056433333 40.0434708,116.537806944444 40.0552128333333)";80;81;4
"LINESTRING (116.276364261905 39.863533,116.270246527473 39.8791411208791)";171;170;13
"LINESTRING (116.896533 36.38612,116.896957 36.375273)";390;391;1
"LINESTRING (116.703752 36.929635,116.708673 36.919408)";340;341;1
"LINESTRING (116.359767833333 39.8878836666667,116.355387363636 39.890325)";202;153;2
"LINESTRING (116.429208815217 39.9228586847826,116.427615962264 39.9090440943396)";66;15;6
"LINESTRING (116.781497333333 35.7952636666667,116.776139375 35.8054900625)";287;95;1
"LINESTRING (116.303682 39.9186235588235,116.303877285714 39.9010203265306)";158;157;3
"LINESTRING (116.325804535714 39.9260515357143,116.341562333333 39.92012675)";90;255;1
"LINESTRING (116.453651191011 39.8857899101124,116.34914044898 39.8526038095238)";18;61;1
"LINESTRING (116.4709776 39.9784937,116.46121468 39.97080078)";74;46;1
"LINESTRING (116.385717411765 39.886437,116.40041 39.881728)";200;482;1
"LINESTRING (116.657823 39.956292,116.668696571429 39.971236)";512;513;1
"LINESTRING (116.2447725 39.928699375,116.2447725 39.928699375)";163;163;87
"LINESTRING (116.361213666667 39.918166,116.348889108108 39.9241877567568)";130;127;1
"LINESTRING (116.529056433333 40.0434708,116.519682666667 40.0272502727273)";80;72;4
"LINESTRING (116.255378 39.9468766666667,116.243424818182 39.9474017272727)";568;567;3
"LINESTRING (116.2223625 40.08796,116.215388 40.100852)";226;227;1
"LINESTRING (116.37602 39.961487,116.372127275862 39.9582460689655)";572;7;3
"LINESTRING (116.2976265 39.9970875,116.28382908 39.99714532)";131;132;2
"LINESTRING (116.353173428571 40.0085871428571,116.353173428571 40.0085871428571)";97;97;38
"LINESTRING (116.552127 39.975718,116.552127 39.975718)";528;528;131
"LINESTRING (116.447456473684 40.0015087894737,116.451152 39.991997)";68;584;2
"LINESTRING (116.32056875 39.869089,116.32056875 39.869089)";185;185;53
"LINESTRING (116.645625 39.984802,116.633567 39.986417)";520;521;1
"LINESTRING (116.34914044898 39.8526038095238,116.356577527778 39.8642303055556)";61;204;1
"LINESTRING (116.4490405 39.86224575,116.432392 39.8641791486487)";205;151;2
"LINESTRING (116.2983033 39.8301241,116.2983033 39.8301241)";189;189;124
"LINESTRING (116.500330727273 40.0231155454546,116.486167 40.018612)";71;57;1
"LINESTRING (116.3188402 39.9320189,116.315401307692 39.9077855384615)";91;208;1
"LINESTRING (116.442877410256 39.8754710512821,116.432392 39.8641791486487)";152;151;1
"LINESTRING (116.19308 39.9750115,116.19308 39.9750115)";177;177;2
"LINESTRING (116.348788521739 39.9547022173913,116.373124736842 39.9677681578947)";125;6;1
"LINESTRING (116.351273485714 39.9058961428571,116.351273485714 39.9058961428571)";128;128;1219
"LINESTRING (116.40041 39.881728,116.40041 39.881728)";482;482;3
"LINESTRING (116.448875272727 40.0160478181818,116.447456473684 40.0015087894737)";86;68;3
"LINESTRING (116.356577527778 39.8642303055556,116.342703785714 39.8706275714286)";204;183;1
"LINESTRING (116.464033740741 39.9109343703704,116.473028 39.920905)";276;548;1
"LINESTRING (116.388641 39.9495479574468,116.388925102941 39.9672222205882)";23;24;5
"LINESTRING (116.289481 40.0279941333333,116.279835333333 40.03271)";135;137;4
"LINESTRING (116.4836 39.975188,116.4836 39.975188)";549;549;4
"LINESTRING (116.657705 39.985082,116.645625 39.984802)";519;520;1
"LINESTRING (116.522238 39.916262,116.522238 39.916262)";501;501;172
"LINESTRING (116.267997064516 39.895006172043,116.267997064516 39.895006172043)";169;169;646
"LINESTRING (116.298414461538 39.9835601025641,116.298414461538 39.9835601025641)";31;31;4474
"LINESTRING (116.4689685 39.948495,116.4685592 39.9336904)";280;281;1
