WKT;GROUP
"POINT (116.21711 39.986432)";178
"POINT (116.17845 39.974295)";179
"POINT (116.268546022727 39.9471546363636)";180
"POINT (116.402212 39.9777971)";181
"POINT (116.362849 39.94657075)";182
"POINT (116.342703785714 39.8706275714286)";183
"POINT (116.328367 39.866858)";184
"POINT (116.32056875 39.869089)";185
"POINT (116.307135785714 39.8636831428571)";186
"POINT (116.3233866 39.8302350666667)";187
"POINT (116.309784315789 39.8290561578947)";188
"POINT (116.2983033 39.8301241)";189
"POINT (116.337321066667 39.8295884666667)";190
"POINT (116.352629666667 39.8308786)";191
"POINT (116.370950619048 39.840756)";192
"POINT (116.369102636364 39.8293452727273)";193
"POINT (116.268094 39.9357918392857)";194
"POINT (116.258432 39.8666655)";195
"POINT (116.248155166667 39.8548221666667)";196
"POINT (116.297062166667 39.9721718333333)";197
"POINT (116.365669 39.9369425)";198
"POINT (116.381014041667 39.8689290416667)";199
"POINT (116.385717411765 39.886437)";200
"POINT (116.374649888889 39.887482)";201
"POINT (116.359767833333 39.8878836666667)";202
"POINT (116.357861181818 39.8706965454545)";203
"POINT (116.356577527778 39.8642303055556)";204
"POINT (116.4490405 39.86224575)";205
"POINT (116.462062757576 39.8854745151515)";206
"POINT (116.3938988 39.8702661)";207
"POINT (116.315401307692 39.9077855384615)";208
"POINT (116.325496714286 39.906033)";209
"POINT (116.3394484 39.90609)";210
"POINT (116.342448176471 40.0353150588235)";211
"POINT (116.3298651 40.0431146)";212
"POINT (116.325169916667 40.0553025)";213
"POINT (116.338541409091 40.0628965454545)";214
"POINT (116.317065769231 40.0647613846154)";215
"POINT (116.304942 40.056723)";216
"POINT (116.481234846154 39.9545927692308)";217
"POINT (116.483171652174 39.938303173913)";218
"POINT (116.483847173913 39.9208502173913)";219
"POINT (116.484368333333 39.905143)";220
"POINT (116.483643428571 39.888821)";221
"POINT (116.483527625 39.872547625)";222
"POINT (116.471617 39.8722581666667)";223
"POINT (116.4153426 39.9763824)";224
"POINT (116.240737 40.05784)";225
"POINT (116.2223625 40.08796)";226
"POINT (116.215388 40.100852)";227
"POINT (116.21155 40.110348)";228
"POINT (116.206698 40.125274)";229
"POINT (116.201797 40.139663)";230
"POINT (116.200748 40.151535)";231
"POINT (116.200335 40.161843)";232
"POINT (116.200213 40.172395)";233
"POINT (116.192253 40.192)";234
"POINT (116.187277 40.202565)";235
"POINT (116.181332 40.211113)";236
"POINT (116.176193 40.220602)";237
"POINT (116.171477 40.229877)";238
"POINT (116.165923 40.239243)";239
"POINT (116.161288 40.248795)";240
"POINT (116.156203 40.258505)";241
"POINT (116.151422 40.269327)";242
"POINT (116.13601 40.341508)";243
"POINT (116.134814 40.3575)";244
"POINT (116.134768 40.371385)";245
"POINT (116.362267 39.898638)";246
"POINT (116.378368 39.898316)";247
"POINT (116.390402 39.898675)";248
"POINT (116.400613 39.904095)";249
"POINT (116.400199333333 39.9206723333333)";250
"POINT (116.4018362 39.9312892)";251
"POINT (116.128638 40.088378)";252
"POINT (116.14966 40.071402)";253
"POINT (116.139323 40.07978)";254
"POINT (116.341562333333 39.92012675)";255
"POINT (116.267746014286 39.9566036285714)";256
"POINT (116.285525714286 39.8957370714286)";257
"POINT (116.368082285714 39.8703636428571)";258
"POINT (116.400624857143 39.8653361428571)";259
"POINT (116.254183384615 39.9925463076923)";260
"POINT (116.2462265 39.9858138571429)";261
"POINT (116.365228 39.998513)";262
"POINT (116.3668814 40.0247508)";263
"POINT (116.363856 40.039167)";264
"POINT (116.350011 40.0377575)";265
"POINT (116.3508475 40.072761)";266
"POINT (116.343079666667 40.045191)";267
"POINT (116.329023615385 39.955874)";268
"POINT (116.235890714286 39.972618)";269
"POINT (116.22877 39.9636535)";270
"POINT (116.19999 39.933035)";271
"POINT (116.190863 39.94921)";272
"POINT (116.179175 39.93872)";273
"POINT (116.170383 39.926907)";274
"POINT (116.440321428571 39.9511815714286)";275
"POINT (116.464033740741 39.9109343703704)";276
"POINT (116.373193 39.986866875)";277
"POINT (116.365128153846 39.9988243846154)";278
"POINT (116.377587571429 40.0008867142857)";279
"POINT (116.4689685 39.948495)";280
"POINT (116.4685592 39.9336904)";281
"POINT (116.315031380952 39.9680074285715)";282
"POINT (117.169452 40.08307)";283
"POINT (117.1909448 40.0625568)";284
"POINT (117.18036375 40.07230575)";285
"POINT (116.7082345 35.87466)";286
"POINT (116.781497333333 35.7952636666667)";287
"POINT (116.773448666667 35.8059736666667)";288
"POINT (116.76844 35.813115)";289
"POINT (116.761105 35.82228)";290
"POINT (116.754335 35.830568)";291
"POINT (116.745648 35.840212)";292
"POINT (116.738302 35.847455)";293
"POINT (116.731482 35.855005)";294
"POINT (116.722615 35.862228)";295
"POINT (116.274657 39.81774)";296
"POINT (116.534512 39.831602)";297
"POINT (116.553655 39.828122)";298
"POINT (116.565232 39.825513)";299
"POINT (116.57559 39.832235)";300
"POINT (116.541229714286 39.9454007142857)";301
"POINT (116.310781 40.0457525)";302
"POINT (116.21805 39.804668)";303
"POINT (116.245303 39.890685)";304
"POINT (116.242083 39.878202)";305
"POINT (116.23911 39.865608)";306
"POINT (116.23646 39.854828)";307
"POINT (116.233707 39.844983)";308
"POINT (116.2285695 39.8298655)";309
"POINT (116.22217 39.814302)";310
"POINT (116.2895052 39.8628021)";311
"POINT (116.288948333333 39.8769993333333)";312
"POINT (116.415998 37.308233)";313
"POINT (116.9237385 35.896899)";314
"POINT (116.422955 37.30047)";315
"POINT (116.43062 37.29138)";316
"POINT (116.440118 37.283605)";317
"POINT (116.448913 37.27605)";318
"POINT (116.456628 37.266825)";319
"POINT (116.462577 37.257372)";320
"POINT (116.467243 37.247253)";321
"POINT (116.47337 37.237868)";322
"POINT (116.480215 37.22857)";323
"POINT (116.48708 37.218777)";324
"POINT (116.494033 37.209272)";325
"POINT (116.498823 37.199558)";326
"POINT (116.504393 37.189672)";327
"POINT (116.5123 37.18023)";328
"POINT (116.635077 37.040217)";329
"POINT (116.647203 37.02889)";330
"POINT (116.654433 37.021502)";331
"POINT (116.660785 37.013287)";332
"POINT (116.665967 37.00352)";333
"POINT (116.67003 36.99324)";334
"POINT (116.674988 36.979038)";335
"POINT (116.679277 36.96865)";336
"POINT (116.685583 36.958608)";337
"POINT (116.691392 36.94915)";338
"POINT (116.697567 36.939447)";339
"POINT (116.703752 36.929635)";340
"POINT (116.708673 36.919408)";341
"POINT (116.713003 36.909785)";342
"POINT (116.720412 36.900483)";343
"POINT (116.7292 36.892007)";344
"POINT (116.737238 36.883928)";345
"POINT (116.74344 36.874835)";346
"POINT (116.748517 36.864405)";347
"POINT (116.753838 36.854042)";348
"POINT (116.760465 36.844337)";349
"POINT (116.765655 36.833805)";350
"POINT (116.772142 36.824188)";351
"POINT (116.77978 36.815868)";352
"POINT (116.785853 36.807255)";353
"POINT (116.791548 36.79816)";354
"POINT (116.797793 36.7902)";355
"POINT (116.805707 36.781842)";356
"POINT (116.814278 36.77394)";357
"POINT (116.822617 36.767755)";358
"POINT (116.832235 36.761288)";359
"POINT (116.840762 36.754298)";360
"POINT (116.847505 36.74596)";361
"POINT (116.853769 36.7318985)";362
"POINT (116.8591 36.718072)";363
"POINT (116.865213 36.708187)";364
"POINT (116.87875 36.658383)";365
"POINT (116.879337 36.646833)";366
"POINT (116.881985 36.631425)";367
"POINT (116.88162 36.617322)";368
"POINT (116.878627 36.607518)";369
"POINT (116.873508 36.598225)";370
"POINT (116.866502 36.589408)";371
"POINT (116.86059 36.580813)";372
"POINT (116.855293 36.571827)";373
"POINT (116.8472015 36.558046)";374
"POINT (116.843738 36.543818)";375
"POINT (116.841597 36.533355)";376
"POINT (116.840242 36.522805)";377
"POINT (116.84007 36.510898)";378
"POINT (116.844263 36.49993)";379
"POINT (116.852062 36.491638)";380
"POINT (116.859675 36.483113)";381
"POINT (116.865153 36.473632)";382
"POINT (116.874243 36.465645)";383
"POINT (116.883144 36.452862)";384
"POINT (116.886703 36.43932)";385
"POINT (116.888042 36.429157)";386
"POINT (116.889422 36.418475)";387
"POINT (116.890772 36.407318)";388
"POINT (116.894263 36.396065)";389
"POINT (116.896533 36.38612)";390
"POINT (116.896957 36.375273)";391
"POINT (116.898252 36.364433)";392
"POINT (116.900683 36.353313)";393
"POINT (116.901435 36.342722)";394
"POINT (116.903082 36.332213)";395
"POINT (116.908888 36.323408)";396
"POINT (116.917675 36.314257)";397
"POINT (116.927073 36.306097)";398
"POINT (116.935625 36.299133)";399
"POINT (116.944213 36.292005)";400
"POINT (116.952252 36.283783)";401
"POINT (116.959277 36.276263)";402
"POINT (116.966547 36.268455)";403
"POINT (116.973697 36.259247)";404
"POINT (116.979938 36.249832)";405
"POINT (116.984818 36.239643)";406
"POINT (116.988438 36.229478)";407
"POINT (116.9900035 36.214846)";408
"POINT (116.993908 36.199753)";409
"POINT (117.000813 36.190892)";410
"POINT (117.011607 36.183808)";411
"POINT (117.02158 36.176618)";412
"POINT (117.028925 36.166957)";413
"POINT (117.036063 36.15703)";414
"POINT (117.041223 36.147757)";415
"POINT (117.04595 36.138045)";416
"POINT (117.050015 36.12814)";417
"POINT (117.055498 36.118462)";418
"POINT (117.06283 36.109502)";419
"POINT (117.06887 36.099873)";420
"POINT (117.076213 36.089777)";421
"POINT (117.083457 36.081105)";422
"POINT (117.088303 36.071902)";423
"POINT (117.091072 36.061148)";424
"POINT (117.091933 36.050017)";425
"POINT (117.092563 36.038433)";426
"POINT (117.09433 36.027943)";427
"POINT (117.097083 36.01685)";428
"POINT (117.098108 36.005945)";429
"POINT (117.097532 35.9943)";430
"POINT (117.095363 35.983392)";431
"POINT (117.088772 35.972825)";432
"POINT (117.059148 35.935892)";433
"POINT (117.048309666667 35.9379593333333)";434
"POINT (117.0758265 35.93292675)";435
"POINT (116.974381666667 35.9164956666667)";436
"POINT (116.96452 35.905865)";437
"POINT (116.953122 35.901868)";438
"POINT (116.431343 39.978227)";439
"POINT (116.4977665 39.869586)";440
"POINT (116.510715 39.869129)";441
"POINT (116.523812 39.8686025)";442
"POINT (116.5362675 39.8681225)";443
"POINT (116.550364 39.867561)";444
"POINT (116.566468 39.8662)";445
"POINT (116.292334714286 39.8392847142857)";446
"POINT (116.272010333333 39.801252)";447
"POINT (116.22489 39.93639)";448
"POINT (116.265329 39.9861983333333)";449
"POINT (117.871705 39.20041)";450
"POINT (117.886197 39.195737)";451
"POINT (117.901153 39.191095)";452
"POINT (117.922017 39.18537)";453
"POINT (117.9345 39.182577)";454
"POINT (117.959818 39.184835)";455
"POINT (117.957427 39.195585)";456
"POINT (117.960982666667 39.2079443333333)";457
"POINT (117.927783 39.242055)";458
"POINT (117.910865 39.254353)";459
"POINT (117.899615 39.262335)";460
"POINT (117.889513 39.269138)";461
"POINT (117.880662 39.276755)";462
"POINT (117.870159666667 39.2872353333333)";463
"POINT (117.865689333333 39.2961876666667)";464
"POINT (117.877935 39.296015)";465
"POINT (117.890455 39.294012)";466
"POINT (117.902243 39.291758)";467
"POINT (117.915877 39.288918)";468
"POINT (117.929852 39.285685)";469
"POINT (117.943932 39.2818)";470
"POINT (117.955992 39.278255)";471
"POINT (117.969065 39.274287)";472
"POINT (117.981252 39.270652)";473
"POINT (117.995277 39.2675473333333)";474
"POINT (117.992409 39.291926)";475
"POINT (116.304599222222 39.8826368333333)";476
"POINT (116.3139875 39.84704375)";477
"POINT (116.419207521739 39.8560874347826)";478
"POINT (116.42071 39.82432)";479
"POINT (116.339678 39.8391993333333)";480
"POINT (116.310267666667 39.9929978)";481
"POINT (116.40041 39.881728)";482
"POINT (116.417802 39.8808123333333)";483
"POINT (116.5063845 39.9065825)";484
"POINT (116.5184825 39.90751)";485
"POINT (116.5361555 39.908975375)";486
"POINT (116.5495682 39.910631)";487
"POINT (116.564036 39.9107014)";488
"POINT (116.580152333333 39.9096043333333)";489
"POINT (116.588418 39.907813)";490
"POINT (116.59657325 39.90881025)";491
"POINT (116.613051333333 39.9045824444445)";492
"POINT (116.628542555556 39.9043024444444)";493
"POINT (116.6415775 39.905884)";494
"POINT (116.65168925 39.90385325)";495
"POINT (116.6511626 39.8905168)";496
"POINT (116.660648111111 39.8823478888889)";497
"POINT (116.657053571429 39.8683008571429)";498
"POINT (116.6552395 39.8545131666667)";499
"POINT (116.64041 39.892858)";500
"POINT (116.522238 39.916262)";501
"POINT (116.510202 39.915542)";502
"POINT (116.496657 39.910644)";503
"POINT (116.8175725 39.565876)";504
"POINT (116.54881 39.770643)";505
"POINT (116.555695111111 39.7596238888889)";506
"POINT (116.545293 39.75867)";507
"POINT (116.467737 39.761618)";508
"POINT (116.650162333333 39.9187446666667)";509
"POINT (116.652311 39.934786)";510
"POINT (116.65086 39.948768)";511
"POINT (116.657823 39.956292)";512
"POINT (116.668696571429 39.971236)";513
"POINT (116.672381714286 39.9849602857143)";514
"POINT (116.685163555556 39.9852948888889)";515
"POINT (116.699233 39.9860583)";516
"POINT (116.715309 39.986286)";517
"POINT (116.72544 39.9867725)";518
"POINT (116.657705 39.985082)";519
"POINT (116.645625 39.984802)";520
"POINT (116.633567 39.986417)";521
"POINT (116.621767 39.986965)";522
"POINT (116.610457 39.984538)";523
"POINT (116.600345 39.979682)";524
"POINT (116.58791 39.977477)";525
"POINT (116.576103 39.977453)";526
"POINT (116.564423 39.975627)";527
"POINT (116.552127 39.975718)";528
"POINT (116.536721 39.9728853333333)";529
"POINT (116.522949833333 39.9625491666667)";530
"POINT (116.512662 39.976305)";531
"POINT (116.506342 39.984192)";532
"POINT (116.499597 39.992117)";533
"POINT (116.282785 39.910997)";534
"POINT (116.400546222222 40.0014655555556)";535
"POINT (116.405893 40.0047616666667)";536
"POINT (116.556712 40.108236)";537
"POINT (116.5646939 40.1171991)";538
"POINT (116.317930428571 40.0353685714286)";539
"POINT (115.943473 40.150877)";540
"POINT (116.103814 40.01518925)";541
"POINT (116.099678 40.024658)";542
"POINT (116.013968 40.11397)";543
"POINT (115.995338 40.120607)";544
"POINT (115.970252 40.143847)";545
"POINT (115.955462 40.145345)";546
"POINT (115.432997 39.63623)";547
"POINT (116.473028 39.920905)";548
"POINT (116.4836 39.975188)";549
"POINT (116.498702 40.040253)";550
"POINT (116.503732 40.0577685)";551
"POINT (116.510288 40.072625)";552
"POINT (116.5164156 40.0897942)";553
"POINT (116.391917 39.842422)";554
"POINT (115.582097 39.657448)";555
"POINT (115.56808 39.654438)";556
"POINT (115.55597 39.648048)";557
"POINT (115.54547 39.641845)";558
"POINT (115.53269 39.643565)";559
"POINT (115.52054 39.643977)";560
"POINT (115.504633 39.643083)";561
"POINT (115.492447 39.641597)";562
"POINT (115.478198 39.639545)";563
"POINT (115.463995 39.638545)";564
"POINT (115.449378 39.638097)";565
"POINT (116.454719222222 39.9001348888889)";566
"POINT (116.243424818182 39.9474017272727)";567
"POINT (116.255378 39.9468766666667)";568
"POINT (116.307114 39.81300125)";569
"POINT (116.308971958333 39.7898448333333)";570
"POINT (116.363679666667 39.96311)";571
"POINT (116.37602 39.961487)";572
"POINT (116.246297 39.970137)";573
"POINT (116.917642 39.131035)";574
"POINT (116.9130515 39.09526)";575
"POINT (116.921037 39.119817)";576
"POINT (116.920952 39.108647)";577
"POINT (116.807673 38.47761)";578
"POINT (116.795741 38.41881)";579
"POINT (116.8097425 38.455831)";580
"POINT (116.805875 38.44053)";581
"POINT (116.801723 38.431193)";582
"POINT (116.521823 40.05614375)";583
"POINT (116.451152 39.991997)";584
"POINT (116.2744474 39.9559708)";585
"POINT (116.257067 39.93552)";586
"POINT (116.3805495 39.834501)";587
"POINT (116.341777 39.860407)";588
